,0,1,2,3,4,5,6,7,8,board_str,value
530,,O,O,,X,X,,,,",O,O,,X,X,,,",0.5
531,O,,X,X,,O,,,,"O,,X,X,,O,,,",0.5
532,,,X,,,,O,X,O,",,X,,,,O,X,O",0.5
533,O,,X,,X,,,O,,"O,,X,,X,,,O,",0.5
534,O,X,,,,X,,O,,"O,X,,,,X,,O,",0.5
535,X,O,,,,,,X,O,"X,O,,,,,,X,O",0.5
536,X,O,,,,O,,X,,"X,O,,,,O,,X,",0.5
537,O,,,,O,,X,X,,"O,,,,O,,X,X,",0.5
538,,O,X,,,,X,,O,",O,X,,,,X,,O",0.5
539,,O,O,,,,X,,X,",O,O,,,,X,,X",0.5
540,O,,,,X,X,,O,,"O,,,,X,X,,O,",0.5
541,,X,O,,X,,,O,,",X,O,,X,,,O,",0.5
542,,O,,,O,,X,,X,",O,,,O,,X,,X",0.5
543,,X,,X,,O,,,O,",X,,X,,O,,,O",0.5
544,,X,,O,O,X,,,,",X,,O,O,X,,,",0.5
545,X,X,,O,O,,,,,"X,X,,O,O,,,,",0.5
546,O,,,X,,O,,,X,"O,,,X,,O,,,X",0.5
547,O,X,,,X,,O,,,"O,X,,,X,,O,,",0.5
548,,O,X,,,X,,,O,",O,X,,,X,,,O",0.5
549,O,,,,X,O,X,,,"O,,,,X,O,X,,",0.5
550,O,O,,,X,,,,X,"O,O,,,X,,,,X",0.5
551,,,,O,O,X,,X,,",,,O,O,X,,X,",0.5
552,,,,,X,O,,X,O,",,,,X,O,,X,O",0.5
553,X,,X,,,,,O,O,"X,,X,,,,,O,O",0.5
554,,O,,X,,O,X,,,",O,,X,,O,X,,",0.5
555,X,O,,O,,,X,,,"X,O,,O,,,X,,",0.5
556,,,O,O,,X,X,,,",,O,O,,X,X,,",0.5
557,X,,O,X,,O,,,,"X,,O,X,,O,,,",0.5
558,,X,O,,,O,X,,,",X,O,,,O,X,,",0.5
559,,O,,,,X,O,,X,",O,,,,X,O,,X",0.5
560,X,X,,,O,,,O,,"X,X,,,O,,,O,",0.5
561,X,,O,,X,,,O,,"X,,O,,X,,,O,",0.5
562,X,O,O,,,,X,,,"X,O,O,,,,X,,",0.5
563,,X,X,,,O,,O,,",X,X,,,O,,O,",0.5
564,X,,,O,,,,O,X,"X,,,O,,,,O,X",0.5
565,,O,,O,X,,,,X,",O,,O,X,,,,X",0.5
566,,,,X,X,O,,,O,",,,X,X,O,,,O",0.5
567,O,,,,,X,,O,X,"O,,,,,X,,O,X",0.5
568,,,X,O,,,X,O,,",,X,O,,,X,O,",0.5
569,O,X,X,,,,,,O,"O,X,X,,,,,,O",0.5
570,O,X,,,,,O,X,,"O,X,,,,,O,X,",0.5
571,X,,,X,,,O,,O,"X,,,X,,,O,,O",0.5
572,,,,,,O,X,O,X,",,,,,O,X,O,X",0.5
573,,O,,X,,X,,O,,",O,,X,,X,,O,",0.5
574,O,X,,,,O,X,,,"O,X,,,,O,X,,",0.5
575,O,,,O,,,X,,X,"O,,,O,,,X,,X",0.5
576,O,,,O,X,,,X,,"O,,,O,X,,,X,",0.5
577,,,O,X,,O,,X,,",,O,X,,O,,X,",0.5
578,,,X,X,O,,,,O,",,X,X,O,,,,O",0.5
579,,,X,,O,,X,O,,",,X,,O,,X,O,",0.5
580,,O,,O,,X,,X,,",O,,O,,X,,X,",0.5
581,X,O,O,X,,,,,,"X,O,O,X,,,,,",0.5
582,O,X,,O,,,,,X,"O,X,,O,,,,,X",0.5
583,,,,,O,X,X,O,,",,,,O,X,X,O,",0.5
584,,X,,,,O,O,X,,",X,,,,O,O,X,",0.5
585,O,X,,X,,,O,,,"O,X,,X,,,O,,",0.5
586,,,X,X,,O,,O,,",,X,X,,O,,O,",0.5
587,O,,O,,,,X,,X,"O,,O,,,,X,,X",0.5
588,O,,O,,X,,,X,,"O,,O,,X,,,X,",0.5
589,,O,,X,X,O,,,,",O,,X,X,O,,,",0.5
590,,,,X,X,O,,O,,",,,X,X,O,,O,",0.5
591,,,O,X,,X,,,O,",,O,X,,X,,,O",0.5
592,O,,,O,,X,,X,,"O,,,O,,X,,X,",0.5
593,,,,O,,O,X,X,,",,,O,,O,X,X,",0.5
594,O,O,,X,,,X,,,"O,O,,X,,,X,,",0.5
595,,X,X,O,O,,,,,",X,X,O,O,,,,",0.5
596,,,X,,,O,O,,X,",,X,,,O,O,,X",0.5
597,,,X,O,,,,X,O,",,X,O,,,,X,O",0.5
598,O,,,,X,,X,,O,"O,,,,X,,X,,O",0.5
599,X,,X,,,O,O,,,"X,,X,,,O,O,,",0.5
600,,X,X,,,,O,O,,",X,X,,,,O,O,",0.5
601,O,,O,,,,,X,X,"O,,O,,,,,X,X",0.5
602,,X,O,,O,,,X,,",X,O,,O,,,X,",0.5
603,,,O,X,X,,O,,,",,O,X,X,,O,,",0.5
604,,,X,,,O,,O,X,",,X,,,O,,O,X",0.5
605,,X,X,O,,,,O,,",X,X,O,,,,O,",0.5
606,X,,,X,O,O,,,,"X,,,X,O,O,,,",0.5
607,O,,X,O,,X,,,,"O,,X,O,,X,,,",0.5
608,,X,,O,X,,,,O,",X,,O,X,,,,O",0.5
609,O,X,,,X,,,O,,"O,X,,,X,,,O,",0.5
610,O,X,,,,,X,O,,"O,X,,,,,X,O,",0.5
611,,,X,,,O,,X,O,",,X,,,O,,X,O",0.5
612,,,X,O,X,O,,,,",,X,O,X,O,,,",0.5
613,,,O,X,,O,X,,,",,O,X,,O,X,,",0.5
614,,O,,O,X,,,X,,",O,,O,X,,,X,",0.5
615,,O,,O,,,X,,X,",O,,O,,,X,,X",0.5
616,,X,O,O,,,,,X,",X,O,O,,,,,X",0.5
617,,X,O,,X,O,,,,",X,O,,X,O,,,",0.5
618,,X,,O,,O,,,X,",X,,O,,O,,,X",0.5
619,,,X,,O,,,X,O,",,X,,O,,,X,O",0.5
620,,,,,O,X,,X,O,",,,,O,X,,X,O",0.5
621,X,O,X,,,,,O,,"X,O,X,,,,,O,",0.5
622,,X,,O,X,,O,,,",X,,O,X,,O,,",0.5
623,X,,,,X,,O,O,,"X,,,,X,,O,O,",0.5
624,,O,,X,X,,,,O,",O,,X,X,,,,O",0.5
625,,O,O,,,,,X,X,",O,O,,,,,X,X",0.5
